SID,Lineage_1,Lineage_2,Lineage_3,Lineage_4,Lineage_5,Lineage_6,Lineage_7,Lineage_8,Lineage_9,Lineage_10,Lineage_11,Lineage_12,Lineage_13,Lineage_14,Lineage_15,Lineage_16,Lineage_17,Lineage_18,Lineage_19,Lineage_20,Lineage_21,Lineage_22,Lineage_23,Lineage_24,Lineage_25,Lineage_26,Lineage_27,Lineage_28,Lineage_29,Lineage_30,Lineage_31,Lineage_32,Lineage_33,Lineage_34,Lineage_35,Lineage_36,Lineage_37,Lineage_38,Lineage_39,Lineage_40,Lineage_41,Lineage_42,Lineage_43,Lineage_44,Lineage_45,Lineage_46,Lineage_47,Lineage_48,Lineage_49,Lineage_50,Lineage_51,Lineage_52,Lineage_53,Lineage_54,Lineage_55,Lineage_56,Lineage_57,Lineage_58,Lineage_59,Lineage_60,Lineage_61,Lineage_62,Lineage_63,Lineage_64,Lineage_65,Lineage_66,Lineage_67,Lineage_68,Lineage_69,Lineage_70,Lineage_71,Lineage_72,Lineage_73,Lineage_74,Lineage_75,Lineage_76,Lineage_77,Lineage_78,Lineage_79,Lineage_80,Lineage_81,Lineage_82,Lineage_83,Lineage_84,Lineage_85,Lineage_86,Lineage_87,Lineage_88,Lineage_89,Lineage_90,Lineage_91,Lineage_92
1AA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499599069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
1AA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301782042,0.096774191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35835582,0,0,0,0,0,0.030158274,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
1AA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050194174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049659029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23041603,0.129802242,0.115910821,0,0,0,0,0.102892585,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
1AA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
1PA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
1PA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.753131032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
1PA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457547098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225620016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093495935,0,0,0,0.030066747,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
1PA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448235422,0,0,0,0,0,0.201886237,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115540721,0,0,0.023878707,0,0,0,0,0,0,0,0,0,0,0,0.127485305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
1PB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13707304,0.505511403,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
1PB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076966353,0,0,0.054495819,0,0,0,0,0.021807667,0.019145802,0.152080715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147277251,0,0,0,0.228580058,0.059870563,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0.229551926
2AA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509336889,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
2AA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055021837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888528168,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
2AA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085715994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105613939,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
2AB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
2AB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
2PA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
2PA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507125795,0,0,0,0.164385155,0,0,0,0,0,0,0,0,0.025187658,0.121593438,0.028420743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045878015,0.075468644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
2PB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064254522,0,0,0,0.030084236,0.185420841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090941064,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
4AA1,0,0,0,0,0,0,0,0,0.324560493,0,0,0,0.057687115,0.111201704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089234412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
4AB1,0,0,0,0,0.800106287,0,0.170330092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
4AC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
4PA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
5AA1,0,0,0,0,0,0.40546453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575474322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
5AA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
5AB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
5AB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
5PA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193654254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
5PB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164365977,0.439715862,0.161138639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
7AA1,0,0,0,0,0,0,0,0,0,0,0,0.363511145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035471052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45620662,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
7AA4,0,0,0,0,0,0,0,0,0,0,0,0.114373296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863309383,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
7AA5,0,0,0,0,0,0,0,0,0,0,0,0.806829393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
7AB1,0,0,0,0.142073527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
7AB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0.279646695,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
7AB4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0.446628183,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
7AB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.894619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
7PA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49102512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
7PA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
7PA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
7PB4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068320759,0,0,0,0,0,0.019959742,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0.007551732,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
8AA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
8AA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548266888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
8AB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111189172,0,0,0.194190994,0.109733067,0,0,0,0,0,0.07578966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
8AB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008888889,0,0,0.041405801,0.203623042,0,0,0.005015674,0,0,0.010248112,0.558790863,0,0,0,0,0,0,0,0,0,0,0,0,0.00748503,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
8AB4,0,0,0,0,0,0.073245861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239939079,0,0.090752356,0,0,0,0,0.042949855,0,0,0.075834461,0.381421059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
8AB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322896659,0,0,0.140886962,0,0,0,0.35324648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
8AC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
8AC3,0,0,0,0,0,0.322286546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470446289,0,0,0,0.154848009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
8AC4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.882447243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
8PA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470606685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283844829,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
8PB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076429941,0,0,0.077675134,0,0,0,0.081748202,0,0,0,0,0,0,0,0,0,0,0,0,0.096919872,0.347754449,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
8PB4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03105814,0.075712875,0,0.144172207,0.055149298,0,0.075525939,0,0.282752663,0,0,0,0,0,0,0,0,0,0,0,0,0.022068964,0.10937456,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
8PB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076342553,0,0.255519241,0.049691059,0,0.079560071,0,0.277025938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
