,Lineage 38,Lineage 37,Lineage 20,Lineage 34,Lineage 11,Lineage 42,Lineage 45,Lineage 22,Lineage 49,Lineage 56,Lineage 21,Lineage 27,Lineage 10,Lineage 35,Lineage 31,Lineage 43,Lineage 14,Lineage 59,Lineage 67,Lineage 29,Lineage 52,Lineage 69,Lineage 25,Lineage 66,Lineage 16,Lineage 23,Lineage 60,Lineage 40,Lineage 39,Lineage 55,Lineage 33,Lineage 63,Lineage 50,Lineage 62,Lineage 32,Lineage 6,Lineage 61,Lineage 41,Lineage 13,Lineage 53,Lineage 19,Lineage 58,Lineage 46,Lineage 26,Lineage 30,Lineage 7,Lineage 48,Lineage 36,Lineage 9,Lineage 44,Lineage 54,Lineage 5,Lineage 57,Lineage 70,Lineage 12,Lineage 18,Lineage 17,Lineage 28,Lineage 51
Lineage 38,0,0.003553,0.026154,0.023617,0.025014,0.035564,0.037493,0.03743,0.001481,0.002437,0.003688,0.029333,0.024113,0.02736,0.024784,0.038183,0.273321,0.001914,0.001212,0.001366,0.043775,0.038999,0.157846,0.129463,0.129071,0.021225,0.023724,0.051281,0.039706,0.035905,0.324653,0.131029,0.038912,0.02306,0.035815,0.273547,0.033022,0.023654,0.042919,0.044189,0.035696,0.157221,0.129464,0.12974,0.133227,0.00143,0.024151,0.049777,0.038944,0.242219,0.241625,0.28753,0.038536,0.00192,0.001656,0.001721,0.024664,0.043976,0.032753
Lineage 37,0.003553,0,0.024919,0.022382,0.023779,0.034329,0.036258,0.036195,0.003464,0.002864,0.000999,0.028098,0.022878,0.026125,0.023549,0.036948,0.272086,0.003431,0.003399,0.003347,0.04254,0.037764,0.156611,0.128228,0.127836,0.01999,0.022489,0.050046,0.038471,0.03467,0.323418,0.129794,0.037677,0.021825,0.03458,0.272312,0.031787,0.022419,0.041684,0.042954,0.034461,0.155986,0.128229,0.128505,0.131992,0.003425,0.022916,0.048542,0.037709,0.240984,0.24039,0.286295,0.037301,0.003437,0.003173,0.003122,0.023429,0.042741,0.031518
Lineage 20,0.026154,0.024919,0,0.003269,0.017876,0.03513,0.037059,0.036996,0.026065,0.025465,0.025054,0.034845,0.029625,0.013246,0.017646,0.037749,0.272887,0.026032,0.026,0.025948,0.043341,0.038565,0.157412,0.129029,0.128637,0.029227,0.012062,0.050847,0.039272,0.035471,0.324219,0.130595,0.038478,0.031062,0.035381,0.273113,0.032588,0.029166,0.042485,0.043755,0.035262,0.156787,0.12903,0.129306,0.132793,0.026026,0.029663,0.049343,0.03851,0.241785,0.241191,0.287096,0.038102,0.026038,0.025774,0.025723,0.017526,0.043542,0.032319
Lineage 34,0.023617,0.022382,0.003269,0,0.015339,0.032593,0.034522,0.034459,0.023528,0.022928,0.022517,0.032308,0.027088,0.010709,0.015109,0.035212,0.27035,0.023495,0.023463,0.023411,0.040804,0.036028,0.154875,0.126492,0.1261,0.02669,0.009525,0.04831,0.036735,0.032934,0.321682,0.128058,0.035941,0.028525,0.032844,0.270576,0.030051,0.026629,0.039948,0.041218,0.032725,0.15425,0.126493,0.126769,0.130256,0.023489,0.027126,0.046806,0.035973,0.239248,0.238654,0.284559,0.035565,0.023501,0.023237,0.023186,0.014989,0.041005,0.029782
Lineage 11,0.025014,0.023779,0.017876,0.015339,0,0.03399,0.035919,0.035856,0.024925,0.024325,0.023914,0.033705,0.028485,0.019082,0.001914,0.036609,0.271747,0.024892,0.02486,0.024808,0.042201,0.037425,0.156272,0.127889,0.127497,0.028087,0.015446,0.049707,0.038132,0.034331,0.323079,0.129455,0.037338,0.029922,0.034241,0.271973,0.031448,0.028026,0.041345,0.042615,0.034122,0.155647,0.12789,0.128166,0.131653,0.024886,0.028523,0.048203,0.03737,0.240645,0.240051,0.285956,0.036962,0.024898,0.024634,0.024583,0.001794,0.042402,0.031179
Lineage 42,0.035564,0.034329,0.03513,0.032593,0.03399,0,0.033229,0.033166,0.035475,0.034875,0.034464,0.044255,0.039035,0.036336,0.03376,0.033919,0.275561,0.035442,0.03541,0.035358,0.031221,0.034735,0.160086,0.131703,0.131311,0.038637,0.0327,0.047017,0.035442,0.031641,0.326893,0.133269,0.041152,0.040472,0.031551,0.275787,0.035262,0.038576,0.042153,0.039925,0.031432,0.159461,0.131704,0.13198,0.135467,0.035436,0.039073,0.049011,0.03468,0.244459,0.243865,0.28977,0.040776,0.035448,0.035184,0.035133,0.03364,0.039712,0.028489
Lineage 45,0.037493,0.036258,0.037059,0.034522,0.035919,0.033229,0,0.030753,0.037404,0.036804,0.036393,0.046184,0.040964,0.038265,0.035689,0.027804,0.27749,0.037371,0.037339,0.037287,0.04144,0.032322,0.162015,0.133632,0.13324,0.040566,0.034629,0.030584,0.029327,0.03103,0.328822,0.135198,0.043081,0.042401,0.03094,0.277716,0.037191,0.040505,0.044082,0.023492,0.020647,0.16139,0.133633,0.133909,0.137396,0.037365,0.041002,0.05094,0.032267,0.246388,0.245794,0.291699,0.042705,0.037377,0.037113,0.037062,0.035569,0.023279,0.027878
Lineage 22,0.03743,0.036195,0.036996,0.034459,0.035856,0.033166,0.030753,0,0.037341,0.036741,0.03633,0.046121,0.040901,0.038202,0.035626,0.031443,0.277427,0.037308,0.037276,0.037224,0.041377,0.014429,0.161952,0.133569,0.133177,0.040503,0.034566,0.044541,0.032966,0.030967,0.328759,0.135135,0.043018,0.042338,0.030877,0.277653,0.037128,0.040442,0.044019,0.037449,0.028956,0.161327,0.13357,0.133846,0.137333,0.037302,0.040939,0.050877,0.014374,0.246325,0.245731,0.291636,0.042642,0.037314,0.03705,0.036999,0.035506,0.037236,0.027815
Lineage 49,0.001481,0.003464,0.026065,0.023528,0.024925,0.035475,0.037404,0.037341,0,0.002348,0.003599,0.029244,0.024024,0.027271,0.024695,0.038094,0.273232,0.001825,0.001327,0.001277,0.043686,0.03891,0.157757,0.129374,0.128982,0.021136,0.023635,0.051192,0.039617,0.035816,0.324564,0.13094,0.038823,0.022971,0.035726,0.273458,0.032933,0.023565,0.04283,0.0441,0.035607,0.157132,0.129375,0.129651,0.133138,0.001353,0.024062,0.049688,0.038855,0.24213,0.241536,0.287441,0.038447,0.001831,0.001567,0.001632,0.024575,0.043887,0.032664
Lineage 56,0.002437,0.002864,0.025465,0.022928,0.024325,0.034875,0.036804,0.036741,0.002348,0,0.002999,0.028644,0.023424,0.026671,0.024095,0.037494,0.272632,0.002315,0.002283,0.002231,0.043086,0.03831,0.157157,0.128774,0.128382,0.020536,0.023035,0.050592,0.039017,0.035216,0.323964,0.13034,0.038223,0.022371,0.035126,0.272858,0.032333,0.022965,0.04223,0.0435,0.035007,0.156532,0.128775,0.129051,0.132538,0.002309,0.023462,0.049088,0.038255,0.24153,0.240936,0.286841,0.037847,0.002321,0.002057,0.002006,0.023975,0.043287,0.032064
Lineage 21,0.003688,0.000999,0.025054,0.022517,0.023914,0.034464,0.036393,0.03633,0.003599,0.002999,0,0.028233,0.023013,0.02626,0.023684,0.037083,0.272221,0.003566,0.003534,0.003482,0.042675,0.037899,0.156746,0.128363,0.127971,0.020125,0.022624,0.050181,0.038606,0.034805,0.323553,0.129929,0.037812,0.02196,0.034715,0.272447,0.031922,0.022554,0.041819,0.043089,0.034596,0.156121,0.128364,0.12864,0.132127,0.00356,0.023051,0.048677,0.037844,0.241119,0.240525,0.28643,0.037436,0.003572,0.003308,0.003257,0.023564,0.042876,0.031653
Lineage 27,0.029333,0.028098,0.034845,0.032308,0.033705,0.044255,0.046184,0.046121,0.029244,0.028644,0.028233,0,0.016506,0.036051,0.033475,0.046874,0.282012,0.029211,0.029179,0.029127,0.052466,0.04769,0.166537,0.138154,0.137762,0.032406,0.032415,0.059972,0.048397,0.044596,0.333344,0.13972,0.047603,0.034241,0.044506,0.282238,0.041713,0.007879,0.05161,0.05288,0.044387,0.165912,0.138155,0.138431,0.141918,0.029205,0.016544,0.058468,0.047635,0.25091,0.250316,0.296221,0.047227,0.029217,0.028953,0.028902,0.033355,0.052667,0.041444
Lineage 10,0.024113,0.022878,0.029625,0.027088,0.028485,0.039035,0.040964,0.040901,0.024024,0.023424,0.023013,0.016506,0,0.030831,0.028255,0.041654,0.276792,0.023991,0.023959,0.023907,0.047246,0.04247,0.161317,0.132934,0.132542,0.027186,0.027195,0.054752,0.043177,0.039376,0.328124,0.1345,0.042383,0.029021,0.039286,0.277018,0.036493,0.010827,0.04639,0.04766,0.039167,0.160692,0.132935,0.133211,0.136698,0.023985,0.00071,0.053248,0.042415,0.24569,0.245096,0.291001,0.042007,0.023997,0.023733,0.023682,0.028135,0.047447,0.036224
Lineage 35,0.02736,0.026125,0.013246,0.010709,0.019082,0.036336,0.038265,0.038202,0.027271,0.026671,0.02626,0.036051,0.030831,0,0.018852,0.038955,0.274093,0.027238,0.027206,0.027154,0.044547,0.039771,0.158618,0.130235,0.129843,0.030433,0.013268,0.052053,0.040478,0.036677,0.325425,0.131801,0.039684,0.032268,0.036587,0.274319,0.033794,0.030372,0.043691,0.044961,0.036468,0.157993,0.130236,0.130512,0.133999,0.027232,0.030869,0.050549,0.039716,0.242991,0.242397,0.288302,0.039308,0.027244,0.02698,0.026929,0.018732,0.044748,0.033525
Lineage 31,0.024784,0.023549,0.017646,0.015109,0.001914,0.03376,0.035689,0.035626,0.024695,0.024095,0.023684,0.033475,0.028255,0.018852,0,0.036379,0.271517,0.024662,0.02463,0.024578,0.041971,0.037195,0.156042,0.127659,0.127267,0.027857,0.015216,0.049477,0.037902,0.034101,0.322849,0.129225,0.037108,0.029692,0.034011,0.271743,0.031218,0.027796,0.041115,0.042385,0.033892,0.155417,0.12766,0.127936,0.131423,0.024656,0.028293,0.047973,0.03714,0.240415,0.239821,0.285726,0.036732,0.024668,0.024404,0.024353,0.000844,0.042172,0.030949
Lineage 43,0.038183,0.036948,0.037749,0.035212,0.036609,0.033919,0.027804,0.031443,0.038094,0.037494,0.037083,0.046874,0.041654,0.038955,0.036379,0,0.27818,0.038061,0.038029,0.037977,0.04213,0.033012,0.162705,0.134322,0.13393,0.041256,0.035319,0.041592,0.022627,0.03172,0.329512,0.135888,0.043771,0.043091,0.03163,0.278406,0.037881,0.041195,0.044772,0.0345,0.026007,0.16208,0.134323,0.134599,0.138086,0.038055,0.041692,0.05163,0.032957,0.247078,0.246484,0.292389,0.043395,0.038067,0.037803,0.037752,0.036259,0.034287,0.028568
Lineage 14,0.273321,0.272086,0.272887,0.27035,0.271747,0.275561,0.27749,0.277427,0.273232,0.272632,0.272221,0.282012,0.276792,0.274093,0.271517,0.27818,0,0.273199,0.273167,0.273115,0.283772,0.278996,0.141599,0.31993,0.319538,0.276394,0.270457,0.291278,0.279703,0.275902,0.123988,0.321496,0.276391,0.278229,0.275812,0.001296,0.270501,0.276333,0.282916,0.284186,0.275693,0.140974,0.319931,0.320207,0.323694,0.273193,0.27683,0.289774,0.278941,0.092058,0.091464,0.086865,0.276015,0.273205,0.272941,0.27289,0.271397,0.283973,0.27275
Lineage 59,0.001914,0.003431,0.026032,0.023495,0.024892,0.035442,0.037371,0.037308,0.001825,0.002315,0.003566,0.029211,0.023991,0.027238,0.024662,0.038061,0.273199,0,0.00176,0.001708,0.043653,0.038877,0.157724,0.129341,0.128949,0.021103,0.023602,0.051159,0.039584,0.035783,0.324531,0.130907,0.03879,0.022938,0.035693,0.273425,0.0329,0.023532,0.042797,0.044067,0.035574,0.157099,0.129342,0.129618,0.133105,0.001786,0.024029,0.049655,0.038822,0.242097,0.241503,0.287408,0.038414,0.001386,0.001418,0.001599,0.024542,0.043854,0.032631
Lineage 67,0.001212,0.003399,0.026,0.023463,0.02486,0.03541,0.037339,0.037276,0.001327,0.002283,0.003534,0.029179,0.023959,0.027206,0.02463,0.038029,0.273167,0.00176,0,0.001212,0.043621,0.038845,0.157692,0.129309,0.128917,0.021071,0.02357,0.051127,0.039552,0.035751,0.324499,0.130875,0.038758,0.022906,0.035661,0.273393,0.032868,0.0235,0.042765,0.044035,0.035542,0.157067,0.12931,0.129586,0.133073,0.001276,0.023997,0.049623,0.03879,0.242065,0.241471,0.287376,0.038382,0.001766,0.001502,0.001567,0.02451,0.043822,0.032599
Lineage 29,0.001366,0.003347,0.025948,0.023411,0.024808,0.035358,0.037287,0.037224,0.001277,0.002231,0.003482,0.029127,0.023907,0.027154,0.024578,0.037977,0.273115,0.001708,0.001212,0,0.043569,0.038793,0.15764,0.129257,0.128865,0.021019,0.023518,0.051075,0.0395,0.035699,0.324447,0.130823,0.038706,0.022854,0.035609,0.273341,0.032816,0.023448,0.042713,0.043983,0.03549,0.157015,0.129258,0.129534,0.133021,0.001238,0.023945,0.049571,0.038738,0.242013,0.241419,0.287324,0.03833,0.001714,0.00145,0.001515,0.024458,0.04377,0.032547
Lineage 52,0.043775,0.04254,0.043341,0.040804,0.042201,0.031221,0.04144,0.041377,0.043686,0.043086,0.042675,0.052466,0.047246,0.044547,0.041971,0.04213,0.283772,0.043653,0.043621,0.043569,0,0.042946,0.168297,0.139914,0.139522,0.046848,0.040911,0.055228,0.043653,0.039852,0.335104,0.14148,0.049363,0.048683,0.039762,0.283998,0.043473,0.046787,0.050364,0.048136,0.039643,0.167672,0.139915,0.140191,0.143678,0.043647,0.047284,0.057222,0.042891,0.25267,0.252076,0.297981,0.048987,0.043659,0.043395,0.043344,0.041851,0.047923,0.0367
Lineage 69,0.038999,0.037764,0.038565,0.036028,0.037425,0.034735,0.032322,0.014429,0.03891,0.03831,0.037899,0.04769,0.04247,0.039771,0.037195,0.033012,0.278996,0.038877,0.038845,0.038793,0.042946,0,0.163521,0.135138,0.134746,0.042072,0.036135,0.04611,0.034535,0.032536,0.330328,0.136704,0.044587,0.043907,0.032446,0.279222,0.038697,0.042011,0.045588,0.039018,0.030525,0.162896,0.135139,0.135415,0.138902,0.038871,0.042508,0.052446,0.000767,0.247894,0.2473,0.293205,0.044211,0.038883,0.038619,0.038568,0.037075,0.038805,0.029384
Lineage 25,0.157846,0.156611,0.157412,0.154875,0.156272,0.160086,0.162015,0.161952,0.157757,0.157157,0.156746,0.166537,0.161317,0.158618,0.156042,0.162705,0.141599,0.157724,0.157692,0.15764,0.168297,0.163521,0,0.204455,0.204063,0.160919,0.154982,0.175803,0.164228,0.160427,0.192931,0.206021,0.160916,0.162754,0.160337,0.141825,0.155026,0.160858,0.167441,0.168711,0.160218,0.002585,0.204456,0.204732,0.208219,0.157718,0.161355,0.174299,0.163466,0.110497,0.109903,0.155808,0.16054,0.15773,0.157466,0.157415,0.155922,0.168498,0.157275
Lineage 66,0.129463,0.128228,0.129029,0.126492,0.127889,0.131703,0.133632,0.133569,0.129374,0.128774,0.128363,0.138154,0.132934,0.130235,0.127659,0.134322,0.31993,0.129341,0.129309,0.129257,0.139914,0.135138,0.204455,0,0.002542,0.132536,0.126599,0.14742,0.135845,0.132044,0.371262,0.060898,0.132533,0.134371,0.131954,0.320156,0.126643,0.132475,0.139058,0.140328,0.131835,0.20383,0.001743,0.001995,0.063096,0.129335,0.132972,0.145916,0.135083,0.288828,0.288234,0.334139,0.132157,0.129347,0.129083,0.129032,0.127539,0.140115,0.128892
Lineage 16,0.129071,0.127836,0.128637,0.1261,0.127497,0.131311,0.13324,0.133177,0.128982,0.128382,0.127971,0.137762,0.132542,0.129843,0.127267,0.13393,0.319538,0.128949,0.128917,0.128865,0.139522,0.134746,0.204063,0.002542,0,0.132144,0.126207,0.147028,0.135453,0.131652,0.37087,0.060506,0.132141,0.133979,0.131562,0.319764,0.126251,0.132083,0.138666,0.139936,0.131443,0.203438,0.002543,0.002819,0.062704,0.128943,0.13258,0.145524,0.134691,0.288436,0.287842,0.333747,0.131765,0.128955,0.128691,0.12864,0.127147,0.139723,0.1285
Lineage 23,0.021225,0.01999,0.029227,0.02669,0.028087,0.038637,0.040566,0.040503,0.021136,0.020536,0.020125,0.032406,0.027186,0.030433,0.027857,0.041256,0.276394,0.021103,0.021071,0.021019,0.046848,0.042072,0.160919,0.132536,0.132144,0,0.026797,0.054354,0.042779,0.038978,0.327726,0.134102,0.041985,0.004469,0.038888,0.27662,0.036095,0.026727,0.045992,0.047262,0.038769,0.160294,0.132537,0.132813,0.1363,0.021097,0.027224,0.05285,0.042017,0.245292,0.244698,0.290603,0.041609,0.021109,0.020845,0.020794,0.027737,0.047049,0.035826
Lineage 60,0.023724,0.022489,0.012062,0.009525,0.015446,0.0327,0.034629,0.034566,0.023635,0.023035,0.022624,0.032415,0.027195,0.013268,0.015216,0.035319,0.270457,0.023602,0.02357,0.023518,0.040911,0.036135,0.154982,0.126599,0.126207,0.026797,0,0.048417,0.036842,0.033041,0.321789,0.128165,0.036048,0.028632,0.032951,0.270683,0.030158,0.026736,0.040055,0.041325,0.032832,0.154357,0.1266,0.126876,0.130363,0.023596,0.027233,0.046913,0.03608,0.239355,0.238761,0.284666,0.035672,0.023608,0.023344,0.023293,0.015096,0.041112,0.029889
Lineage 40,0.051281,0.050046,0.050847,0.04831,0.049707,0.047017,0.030584,0.044541,0.051192,0.050592,0.050181,0.059972,0.054752,0.052053,0.049477,0.041592,0.291278,0.051159,0.051127,0.051075,0.055228,0.04611,0.175803,0.14742,0.147028,0.054354,0.048417,0,0.043115,0.044818,0.34261,0.148986,0.056869,0.056189,0.044728,0.291504,0.050979,0.054293,0.05787,0.032666,0.034435,0.175178,0.147421,0.147697,0.151184,0.051153,0.05479,0.064728,0.046055,0.260176,0.259582,0.305487,0.056493,0.051165,0.050901,0.05085,0.049357,0.032453,0.041666
