,Lineage 38,Lineage 37,Lineage 20,Lineage 34,Lineage 11,Lineage 42,Lineage 45,Lineage 22,Lineage 49,Lineage 56,Lineage 21,Lineage 27,Lineage 10,Lineage 35,Lineage 31,Lineage 43,Lineage 14,Lineage 59,Lineage 67,Lineage 29,Lineage 52,Lineage 69,Lineage 25,Lineage 66,Lineage 16,Lineage 23,Lineage 60,Lineage 40,Lineage 39,Lineage 55,Lineage 33,Lineage 63,Lineage 50,Lineage 62,Lineage 32,Lineage 6,Lineage 61,Lineage 41,Lineage 13,Lineage 53,Lineage 19,Lineage 58,Lineage 46,Lineage 26,Lineage 30,Lineage 7,Lineage 48,Lineage 36,Lineage 9,Lineage 44,Lineage 54,Lineage 5,Lineage 57,Lineage 70,Lineage 12,Lineage 18,Lineage 17,Lineage 28,Lineage 51
Lineage 39,0.039706,0.038471,0.039272,0.036735,0.038132,0.035442,0.029327,0.032966,0.039617,0.039017,0.038606,0.048397,0.043177,0.040478,0.037902,0.022627,0.279703,0.039584,0.039552,0.0395,0.043653,0.034535,0.164228,0.135845,0.135453,0.042779,0.036842,0.043115,0,0.033243,0.331035,0.137411,0.045294,0.044614,0.033153,0.279929,0.039404,0.042718,0.046295,0.036023,0.02753,0.163603,0.135846,0.136122,0.139609,0.039578,0.043215,0.053153,0.03448,0.248601,0.248007,0.293912,0.044918,0.03959,0.039326,0.039275,0.037782,0.03581,0.030091
Lineage 55,0.035905,0.03467,0.035471,0.032934,0.034331,0.031641,0.03103,0.030967,0.035816,0.035216,0.034805,0.044596,0.039376,0.036677,0.034101,0.03172,0.275902,0.035783,0.035751,0.035699,0.039852,0.032536,0.160427,0.132044,0.131652,0.038978,0.033041,0.044818,0.033243,0,0.327234,0.13361,0.041493,0.040813,0.000844,0.276128,0.035603,0.038917,0.042494,0.037726,0.029233,0.159802,0.132045,0.132321,0.135808,0.035777,0.039414,0.049352,0.032481,0.2448,0.244206,0.290111,0.041117,0.035789,0.035525,0.035474,0.033981,0.037513,0.021356
Lineage 33,0.324653,0.323418,0.324219,0.321682,0.323079,0.326893,0.328822,0.328759,0.324564,0.323964,0.323553,0.333344,0.328124,0.325425,0.322849,0.329512,0.123988,0.324531,0.324499,0.324447,0.335104,0.330328,0.192931,0.371262,0.37087,0.327726,0.321789,0.34261,0.331035,0.327234,0,0.372828,0.327723,0.329561,0.327144,0.124214,0.321833,0.327665,0.334248,0.335518,0.327025,0.192306,0.371263,0.371539,0.375026,0.324525,0.328162,0.341106,0.330273,0.14339,0.142796,0.118447,0.327347,0.324537,0.324273,0.324222,0.322729,0.335305,0.324082
Lineage 63,0.131029,0.129794,0.130595,0.128058,0.129455,0.133269,0.135198,0.135135,0.13094,0.13034,0.129929,0.13972,0.1345,0.131801,0.129225,0.135888,0.321496,0.130907,0.130875,0.130823,0.14148,0.136704,0.206021,0.060898,0.060506,0.134102,0.128165,0.148986,0.137411,0.13361,0.372828,0,0.134099,0.135937,0.13352,0.321722,0.128209,0.134041,0.140624,0.141894,0.133401,0.205396,0.060899,0.061175,0.014928,0.130901,0.134538,0.147482,0.136649,0.290394,0.2898,0.335705,0.133723,0.130913,0.130649,0.130598,0.129105,0.141681,0.130458
Lineage 50,0.038912,0.037677,0.038478,0.035941,0.037338,0.041152,0.043081,0.043018,0.038823,0.038223,0.037812,0.047603,0.042383,0.039684,0.037108,0.043771,0.276391,0.03879,0.038758,0.038706,0.049363,0.044587,0.160916,0.132533,0.132141,0.041985,0.036048,0.056869,0.045294,0.041493,0.327723,0.134099,0,0.04382,0.041403,0.276617,0.021292,0.041924,0.048507,0.049777,0.041284,0.160291,0.132534,0.13281,0.136297,0.038784,0.042421,0.055365,0.044532,0.245289,0.244695,0.2906,0.002838,0.038796,0.038532,0.038481,0.036988,0.049564,0.038341
Lineage 62,0.02306,0.021825,0.031062,0.028525,0.029922,0.040472,0.042401,0.042338,0.022971,0.022371,0.02196,0.034241,0.029021,0.032268,0.029692,0.043091,0.278229,0.022938,0.022906,0.022854,0.048683,0.043907,0.162754,0.134371,0.133979,0.004469,0.028632,0.056189,0.044614,0.040813,0.329561,0.135937,0.04382,0,0.040723,0.278455,0.03793,0.028562,0.047827,0.049097,0.040604,0.162129,0.134372,0.134648,0.138135,0.022932,0.029059,0.054685,0.043852,0.247127,0.246533,0.292438,0.043444,0.022944,0.02268,0.022629,0.029572,0.048884,0.037661
Lineage 32,0.035815,0.03458,0.035381,0.032844,0.034241,0.031551,0.03094,0.030877,0.035726,0.035126,0.034715,0.044506,0.039286,0.036587,0.034011,0.03163,0.275812,0.035693,0.035661,0.035609,0.039762,0.032446,0.160337,0.131954,0.131562,0.038888,0.032951,0.044728,0.033153,0.000844,0.327144,0.13352,0.041403,0.040723,0,0.276038,0.035513,0.038827,0.042404,0.037636,0.029143,0.159712,0.131955,0.132231,0.135718,0.035687,0.039324,0.049262,0.032391,0.24471,0.244116,0.290021,0.041027,0.035699,0.035435,0.035384,0.033891,0.037423,0.021266
Lineage 6,0.273547,0.272312,0.273113,0.270576,0.271973,0.275787,0.277716,0.277653,0.273458,0.272858,0.272447,0.282238,0.277018,0.274319,0.271743,0.278406,0.001296,0.273425,0.273393,0.273341,0.283998,0.279222,0.141825,0.320156,0.319764,0.27662,0.270683,0.291504,0.279929,0.276128,0.124214,0.321722,0.276617,0.278455,0.276038,0,0.270727,0.276559,0.283142,0.284412,0.275919,0.1412,0.320157,0.320433,0.32392,0.273419,0.277056,0.29,0.279167,0.092284,0.09169,0.087091,0.276241,0.273431,0.273167,0.273116,0.271623,0.284199,0.272976
Lineage 61,0.033022,0.031787,0.032588,0.030051,0.031448,0.035262,0.037191,0.037128,0.032933,0.032333,0.031922,0.041713,0.036493,0.033794,0.031218,0.037881,0.270501,0.0329,0.032868,0.032816,0.043473,0.038697,0.155026,0.126643,0.126251,0.036095,0.030158,0.050979,0.039404,0.035603,0.321833,0.128209,0.021292,0.03793,0.035513,0.270727,0,0.036034,0.042617,0.043887,0.035394,0.154401,0.126644,0.12692,0.130407,0.032894,0.036531,0.049475,0.038642,0.239399,0.238805,0.28471,0.020916,0.032906,0.032642,0.032591,0.031098,0.043674,0.032451
Lineage 41,0.023654,0.022419,0.029166,0.026629,0.028026,0.038576,0.040505,0.040442,0.023565,0.022965,0.022554,0.007879,0.010827,0.030372,0.027796,0.041195,0.276333,0.023532,0.0235,0.023448,0.046787,0.042011,0.160858,0.132475,0.132083,0.026727,0.026736,0.054293,0.042718,0.038917,0.327665,0.134041,0.041924,0.028562,0.038827,0.276559,0.036034,0,0.045931,0.047201,0.038708,0.160233,0.132476,0.132752,0.136239,0.023526,0.010865,0.052789,0.041956,0.245231,0.244637,0.290542,0.041548,0.023538,0.023274,0.023223,0.027676,0.046988,0.035765
Lineage 13,0.042919,0.041684,0.042485,0.039948,0.041345,0.042153,0.044082,0.044019,0.04283,0.04223,0.041819,0.05161,0.04639,0.043691,0.041115,0.044772,0.282916,0.042797,0.042765,0.042713,0.050364,0.045588,0.167441,0.139058,0.138666,0.045992,0.040055,0.05787,0.046295,0.042494,0.334248,0.140624,0.048507,0.047827,0.042404,0.283142,0.042617,0.045931,0,0.050778,0.042285,0.166816,0.139059,0.139335,0.142822,0.042791,0.046428,0.030044,0.045533,0.251814,0.25122,0.297125,0.048131,0.042803,0.042539,0.042488,0.040995,0.050565,0.039342
Lineage 53,0.044189,0.042954,0.043755,0.041218,0.042615,0.039925,0.023492,0.037449,0.0441,0.0435,0.043089,0.05288,0.04766,0.044961,0.042385,0.0345,0.284186,0.044067,0.044035,0.043983,0.048136,0.039018,0.168711,0.140328,0.139936,0.047262,0.041325,0.032666,0.036023,0.037726,0.335518,0.141894,0.049777,0.049097,0.037636,0.284412,0.043887,0.047201,0.050778,0,0.027343,0.168086,0.140329,0.140605,0.144092,0.044061,0.047698,0.057636,0.038963,0.253084,0.25249,0.298395,0.049401,0.044073,0.043809,0.043758,0.042265,0.000829,0.034574
Lineage 19,0.035696,0.034461,0.035262,0.032725,0.034122,0.031432,0.020647,0.028956,0.035607,0.035007,0.034596,0.044387,0.039167,0.036468,0.033892,0.026007,0.275693,0.035574,0.035542,0.03549,0.039643,0.030525,0.160218,0.131835,0.131443,0.038769,0.032832,0.034435,0.02753,0.029233,0.327025,0.133401,0.041284,0.040604,0.029143,0.275919,0.035394,0.038708,0.042285,0.027343,0,0.159593,0.131836,0.132112,0.135599,0.035568,0.039205,0.049143,0.03047,0.244591,0.243997,0.289902,0.040908,0.03558,0.035316,0.035265,0.033772,0.02713,0.026081
Lineage 58,0.157221,0.155986,0.156787,0.15425,0.155647,0.159461,0.16139,0.161327,0.157132,0.156532,0.156121,0.165912,0.160692,0.157993,0.155417,0.16208,0.140974,0.157099,0.157067,0.157015,0.167672,0.162896,0.002585,0.20383,0.203438,0.160294,0.154357,0.175178,0.163603,0.159802,0.192306,0.205396,0.160291,0.162129,0.159712,0.1412,0.154401,0.160233,0.166816,0.168086,0.159593,0,0.203831,0.204107,0.207594,0.157093,0.16073,0.173674,0.162841,0.109872,0.109278,0.155183,0.159915,0.157105,0.156841,0.15679,0.155297,0.167873,0.15665
Lineage 46,0.129464,0.128229,0.12903,0.126493,0.12789,0.131704,0.133633,0.13357,0.129375,0.128775,0.128364,0.138155,0.132935,0.130236,0.12766,0.134323,0.319931,0.129342,0.12931,0.129258,0.139915,0.135139,0.204456,0.001743,0.002543,0.132537,0.1266,0.147421,0.135846,0.132045,0.371263,0.060899,0.132534,0.134372,0.131955,0.320157,0.126644,0.132476,0.139059,0.140329,0.131836,0.203831,0,0.00202,0.063097,0.129336,0.132973,0.145917,0.135084,0.288829,0.288235,0.33414,0.132158,0.129348,0.129084,0.129033,0.12754,0.140116,0.128893
Lineage 26,0.12974,0.128505,0.129306,0.126769,0.128166,0.13198,0.133909,0.133846,0.129651,0.129051,0.12864,0.138431,0.133211,0.130512,0.127936,0.134599,0.320207,0.129618,0.129586,0.129534,0.140191,0.135415,0.204732,0.001995,0.002819,0.132813,0.126876,0.147697,0.136122,0.132321,0.371539,0.061175,0.13281,0.134648,0.132231,0.320433,0.12692,0.132752,0.139335,0.140605,0.132112,0.204107,0.00202,0,0.063373,0.129612,0.133249,0.146193,0.13536,0.289105,0.288511,0.334416,0.132434,0.129624,0.12936,0.129309,0.127816,0.140392,0.129169
Lineage 30,0.133227,0.131992,0.132793,0.130256,0.131653,0.135467,0.137396,0.137333,0.133138,0.132538,0.132127,0.141918,0.136698,0.133999,0.131423,0.138086,0.323694,0.133105,0.133073,0.133021,0.143678,0.138902,0.208219,0.063096,0.062704,0.1363,0.130363,0.151184,0.139609,0.135808,0.375026,0.014928,0.136297,0.138135,0.135718,0.32392,0.130407,0.136239,0.142822,0.144092,0.135599,0.207594,0.063097,0.063373,0,0.133099,0.136736,0.14968,0.138847,0.292592,0.291998,0.337903,0.135921,0.133111,0.132847,0.132796,0.131303,0.143879,0.132656
Lineage 7,0.00143,0.003425,0.026026,0.023489,0.024886,0.035436,0.037365,0.037302,0.001353,0.002309,0.00356,0.029205,0.023985,0.027232,0.024656,0.038055,0.273193,0.001786,0.001276,0.001238,0.043647,0.038871,0.157718,0.129335,0.128943,0.021097,0.023596,0.051153,0.039578,0.035777,0.324525,0.130901,0.038784,0.022932,0.035687,0.273419,0.032894,0.023526,0.042791,0.044061,0.035568,0.157093,0.129336,0.129612,0.133099,0,0.024023,0.049649,0.038816,0.242091,0.241497,0.287402,0.038408,0.001792,0.001528,0.001593,0.024536,0.043848,0.032625
Lineage 48,0.024151,0.022916,0.029663,0.027126,0.028523,0.039073,0.041002,0.040939,0.024062,0.023462,0.023051,0.016544,0.00071,0.030869,0.028293,0.041692,0.27683,0.024029,0.023997,0.023945,0.047284,0.042508,0.161355,0.132972,0.13258,0.027224,0.027233,0.05479,0.043215,0.039414,0.328162,0.134538,0.042421,0.029059,0.039324,0.277056,0.036531,0.010865,0.046428,0.047698,0.039205,0.16073,0.132973,0.133249,0.136736,0.024023,0,0.053286,0.042453,0.245728,0.245134,0.291039,0.042045,0.024035,0.023771,0.02372,0.028173,0.047485,0.036262
Lineage 36,0.049777,0.048542,0.049343,0.046806,0.048203,0.049011,0.05094,0.050877,0.049688,0.049088,0.048677,0.058468,0.053248,0.050549,0.047973,0.05163,0.289774,0.049655,0.049623,0.049571,0.057222,0.052446,0.174299,0.145916,0.145524,0.05285,0.046913,0.064728,0.053153,0.049352,0.341106,0.147482,0.055365,0.054685,0.049262,0.29,0.049475,0.052789,0.030044,0.057636,0.049143,0.173674,0.145917,0.146193,0.14968,0.049649,0.053286,0,0.052391,0.258672,0.258078,0.303983,0.054989,0.049661,0.049397,0.049346,0.047853,0.057423,0.0462
Lineage 9,0.038944,0.037709,0.03851,0.035973,0.03737,0.03468,0.032267,0.014374,0.038855,0.038255,0.037844,0.047635,0.042415,0.039716,0.03714,0.032957,0.278941,0.038822,0.03879,0.038738,0.042891,0.000767,0.163466,0.135083,0.134691,0.042017,0.03608,0.046055,0.03448,0.032481,0.330273,0.136649,0.044532,0.043852,0.032391,0.279167,0.038642,0.041956,0.045533,0.038963,0.03047,0.162841,0.135084,0.13536,0.138847,0.038816,0.042453,0.052391,0,0.247839,0.247245,0.29315,0.044156,0.038828,0.038564,0.038513,0.03702,0.03875,0.029329
Lineage 44,0.242219,0.240984,0.241785,0.239248,0.240645,0.244459,0.246388,0.246325,0.24213,0.24153,0.241119,0.25091,0.24569,0.242991,0.240415,0.247078,0.092058,0.242097,0.242065,0.242013,0.25267,0.247894,0.110497,0.288828,0.288436,0.245292,0.239355,0.260176,0.248601,0.2448,0.14339,0.290394,0.245289,0.247127,0.24471,0.092284,0.239399,0.245231,0.251814,0.253084,0.244591,0.109872,0.288829,0.289105,0.292592,0.242091,0.245728,0.258672,0.247839,0,0.032648,0.106267,0.244913,0.242103,0.241839,0.241788,0.240295,0.252871,0.241648
Lineage 54,0.241625,0.24039,0.241191,0.238654,0.240051,0.243865,0.245794,0.245731,0.241536,0.240936,0.240525,0.250316,0.245096,0.242397,0.239821,0.246484,0.091464,0.241503,0.241471,0.241419,0.252076,0.2473,0.109903,0.288234,0.287842,0.244698,0.238761,0.259582,0.248007,0.244206,0.142796,0.2898,0.244695,0.246533,0.244116,0.09169,0.238805,0.244637,0.25122,0.25249,0.243997,0.109278,0.288235,0.288511,0.291998,0.241497,0.245134,0.258078,0.247245,0.032648,0,0.105673,0.244319,0.241509,0.241245,0.241194,0.239701,0.252277,0.241054
Lineage 5,0.28753,0.286295,0.287096,0.284559,0.285956,0.28977,0.291699,0.291636,0.287441,0.286841,0.28643,0.296221,0.291001,0.288302,0.285726,0.292389,0.086865,0.287408,0.287376,0.287324,0.297981,0.293205,0.155808,0.334139,0.333747,0.290603,0.284666,0.305487,0.293912,0.290111,0.118447,0.335705,0.2906,0.292438,0.290021,0.087091,0.28471,0.290542,0.297125,0.298395,0.289902,0.155183,0.33414,0.334416,0.337903,0.287402,0.291039,0.303983,0.29315,0.106267,0.105673,0,0.290224,0.287414,0.28715,0.287099,0.285606,0.298182,0.286959
Lineage 57,0.038536,0.037301,0.038102,0.035565,0.036962,0.040776,0.042705,0.042642,0.038447,0.037847,0.037436,0.047227,0.042007,0.039308,0.036732,0.043395,0.276015,0.038414,0.038382,0.03833,0.048987,0.044211,0.16054,0.132157,0.131765,0.041609,0.035672,0.056493,0.044918,0.041117,0.327347,0.133723,0.002838,0.043444,0.041027,0.276241,0.020916,0.041548,0.048131,0.049401,0.040908,0.159915,0.132158,0.132434,0.135921,0.038408,0.042045,0.054989,0.044156,0.244913,0.244319,0.290224,0,0.03842,0.038156,0.038105,0.036612,0.049188,0.037965
Lineage 70,0.00192,0.003437,0.026038,0.023501,0.024898,0.035448,0.037377,0.037314,0.001831,0.002321,0.003572,0.029217,0.023997,0.027244,0.024668,0.038067,0.273205,0.001386,0.001766,0.001714,0.043659,0.038883,0.15773,0.129347,0.128955,0.021109,0.023608,0.051165,0.03959,0.035789,0.324537,0.130913,0.038796,0.022944,0.035699,0.273431,0.032906,0.023538,0.042803,0.044073,0.03558,0.157105,0.129348,0.129624,0.133111,0.001792,0.024035,0.049661,0.038828,0.242103,0.241509,0.287414,0.03842,0,0.001424,0.001605,0.024548,0.04386,0.032637
Lineage 12,0.001656,0.003173,0.025774,0.023237,0.024634,0.035184,0.037113,0.03705,0.001567,0.002057,0.003308,0.028953,0.023733,0.02698,0.024404,0.037803,0.272941,0.001418,0.001502,0.00145,0.043395,0.038619,0.157466,0.129083,0.128691,0.020845,0.023344,0.050901,0.039326,0.035525,0.324273,0.130649,0.038532,0.02268,0.035435,0.273167,0.032642,0.023274,0.042539,0.043809,0.035316,0.156841,0.129084,0.12936,0.132847,0.001528,0.023771,0.049397,0.038564,0.241839,0.241245,0.28715,0.038156,0.001424,0,0.001341,0.024284,0.043596,0.032373
Lineage 18,0.001721,0.003122,0.025723,0.023186,0.024583,0.035133,0.037062,0.036999,0.001632,0.002006,0.003257,0.028902,0.023682,0.026929,0.024353,0.037752,0.27289,0.001599,0.001567,0.001515,0.043344,0.038568,0.157415,0.129032,0.12864,0.020794,0.023293,0.05085,0.039275,0.035474,0.324222,0.130598,0.038481,0.022629,0.035384,0.273116,0.032591,0.023223,0.042488,0.043758,0.035265,0.15679,0.129033,0.129309,0.132796,0.001593,0.02372,0.049346,0.038513,0.241788,0.241194,0.287099,0.038105,0.001605,0.001341,0,0.024233,0.043545,0.032322
Lineage 17,0.024664,0.023429,0.017526,0.014989,0.001794,0.03364,0.035569,0.035506,0.024575,0.023975,0.023564,0.033355,0.028135,0.018732,0.000844,0.036259,0.271397,0.024542,0.02451,0.024458,0.041851,0.037075,0.155922,0.127539,0.127147,0.027737,0.015096,0.049357,0.037782,0.033981,0.322729,0.129105,0.036988,0.029572,0.033891,0.271623,0.031098,0.027676,0.040995,0.042265,0.033772,0.155297,0.12754,0.127816,0.131303,0.024536,0.028173,0.047853,0.03702,0.240295,0.239701,0.285606,0.036612,0.024548,0.024284,0.024233,0,0.042052,0.030829
Lineage 28,0.043976,0.042741,0.043542,0.041005,0.042402,0.039712,0.023279,0.037236,0.043887,0.043287,0.042876,0.052667,0.047447,0.044748,0.042172,0.034287,0.283973,0.043854,0.043822,0.04377,0.047923,0.038805,0.168498,0.140115,0.139723,0.047049,0.041112,0.032453,0.03581,0.037513,0.335305,0.141681,0.049564,0.048884,0.037423,0.284199,0.043674,0.046988,0.050565,0.000829,0.02713,0.167873,0.140116,0.140392,0.143879,0.043848,0.047485,0.057423,0.03875,0.252871,0.252277,0.298182,0.049188,0.04386,0.043596,0.043545,0.042052,0,0.034361
Lineage 51,0.032753,0.031518,0.032319,0.029782,0.031179,0.028489,0.027878,0.027815,0.032664,0.032064,0.031653,0.041444,0.036224,0.033525,0.030949,0.028568,0.27275,0.032631,0.032599,0.032547,0.0367,0.029384,0.157275,0.128892,0.1285,0.035826,0.029889,0.041666,0.030091,0.021356,0.324082,0.130458,0.038341,0.037661,0.021266,0.272976,0.032451,0.035765,0.039342,0.034574,0.026081,0.15665,0.128893,0.129169,0.132656,0.032625,0.036262,0.0462,0.029329,0.241648,0.241054,0.286959,0.037965,0.032637,0.032373,0.032322,0.030829,0.034361,0
